File;NSR;NEM;NOA;COMPLEX;TIPO
/prototipo/visualizza_orario_servizi.jsp;0;1;0;1;
/prototipo/fattura_pagamenti.jsp;0;1;0;1;
/prototipo/modifica_orario.jsp;0;1;0;1;
/prototipo/inserisci_classe.jsp;11;1;0;1;
/prototipo/inserisci_programma.jsp;0;1;0;1;
/prototipo/invia_punteggio.jsp;31;1;0;1;
/prototipo/graduatoria_rifiutati.jsp;11;1;0;1;
/prototipo/statistiche_risposte_aperte.jsp;11;1;0;1;
/prototipo/lista_questionari.jsp;20;1;0;1;
/prototipo/rinuncia_servizio.jsp;12;1;0;1;
/prototipo/modifica_programma.jsp;0;1;0;1;
/prototipo/modifica_tirocinante.jsp;0;1;0;1;
/prototipo/inserisci_questionario.jsp;3;1;0;1;
/prototipo/modifica_orario_servizio.jsp;0;1;0;1;
/prototipo/modifica_piano_pasto.jsp;0;1;0;1;
/prototipo/ricerca_utente.jsp;0;1;0;1;
/prototipo/dati_genitore_non_richiedente.jsp;45;1;0;1;
/prototipo/cancella_programma.jsp;0;1;0;1;
/prototipo/index_psicopedagoga.jsp;0;1;0;1;
/prototipo/approva_tirocinante.jsp;0;1;0;1;
/prototipo/index_genitore.jsp;5;1;0;1;
/prototipo/registro_pagamenti.jsp;0;1;0;1;
/prototipo/attivita_odierna.jsp;0;1;0;1;
/prototipo/errore.jsp;1;1;0;1;
/prototipo/account_educatore.jsp;0;1;0;1;
/prototipo/modifica_questionario.jsp;21;1;0;1;
/prototipo/dati_account_genitore.jsp;7;1;0;1;
/prototipo/lista_punteggio.jsp;15;1;0;1;
/prototipo/account_delegato_sciform.jsp;0;1;0;1;
/prototipo/account_delegato_rettore.jsp;0;1;0;1;
/prototipo/dati_genitore_richiedente.jsp;12;1;0;1;
/prototipo/registro_presenze.jsp;0;1;0;1;
/prototipo/lista_domanda_confermata.jsp;14;1;0;1;
/prototipo/storico_registro_ped.jsp;2;1;0;1;
/prototipo/index_impiegato_asilo.jsp;0;1;0;1;
/prototipo/inserisci_tirocinante.jsp;1;1;0;1;
